title,price,description,bookURL,ImageURL,metadata
Tips & Trick Menguasai Excel 2021,0," Fungsi Excel merupakan rumus siap pakai yang digunakan sebagai alat bantu dalam proses perhitungan. Excel menyediakan ratusan fungsi untuk menyelesaikan pekerjaan dengan lebih mudah dan lebih singkat. Namun karena luasnya bidang pengolahan data, tidak semua fungsi yang disediakan Excel dapat memenuhi kebutuhan pengguna. Hal tersebut dapat dimengerti, karena kasus yang dihadapi pengguna yang satu seringkali berbeda dengan pengguna yang lain.",https://www.gramedia.com/products/tips-trick-menguasai-excel-2021,https://cdn.gramedia.com/uploads/picture_meta/2023/6/14/kuvjb8jny6tzckfdmxqtl2.jpg,Tips Trick Menguasai Excel 2021 Fungsi Excel rumus pakai alat bantu proses perhitungan Excel menyediakan ratusan fungsi menyelesaikan pekerjaan mudah singkat luasnya bidang pengolahan data fungsi disediakan Excel memenuhi kebutuhan pengguna dimengerti dihadapi pengguna seringkali berbeda pengguna
Kupas Tuntas Microsoft Word 2021,0," Program Microsoft Word 2021 adalah software pengolah kata yang sangat populer dan sudah diakui kecanggihannya. Kelengkapan fasilitas dan kemampuannya yang luar biasa dalam mengolah kata, menjadikan software ini banyak dipakai oleh operator komputer, karena keberadaannya benar-benar mampu membantu dan memudahkan pemakai dalam menyelesaikan pekerjaan.",https://www.gramedia.com/products/kupas-tuntas-microsoft-word-2021,https://cdn.gramedia.com/uploads/picture_meta/2023/6/15/p6s8peesbue7lc6qzz3cxs.jpg,Kupas Tuntas Microsoft Word 2021 Program Microsoft Word 2021 software pengolah populer diakui kecanggihannya Kelengkapan fasilitas kemampuannya mengolah menjadikan software dipakai operator komputer keberadaannya benar-benar membantu memudahkan pemakai menyelesaikan pekerjaan
"Panduan Lengkap Formula dan Fungsi Excel 2007, 2010, 2013, 2016, 2019 untuk Pemula",112000," Excel merupakan salah satu aplikasi pengolah data yang super canggih. Ketersediaan formula dan ratusan fungsi yang terdapat di dalam Excel, membuat aplikasi ini unggul dan banyak digunakan. Penggunaan Excel yang semakin luas saat ini menjadi tuntutan bagi siapa pun untuk dapat menguasai aplikasi ini secara optimal. Salah satu kunci sukses untuk menguasai Excel yaitu kemampuan dalam menggunakan formula dan fungsi Excel secara efektif, efisien, dan profesional. Buku Panduan Lengkap Formula dan Fungsi Excel 2007, 2010, 2013, 2016, 2019 untuk Pemula merupakan buku terlengkap yang mengupas secara tuntas penggunaan formula dan fungsi Excel secara optimal dengan bahasa yang sederhana sehingga ringan dan mudah dipelajari. Materi pembahasan dilengkapi ratusan file yang dapat di-download agar proses belajar menjadi lebih efektif dan efisien. Buku ini cocok dibaca oleh siapa pun, baik pemula maupun profesional yang ingin mempelajari Excel.",https://www.gramedia.com/products/panduan-lengkap-formula-dan-fungsi-excel-2007-2010-2013-2016-2019-untuk-pemula,https://cdn.gramedia.com/uploads/picture_meta/2023/6/14/iktggggfiy6dqv8vls35x8.jpg,Panduan Lengkap Formula Fungsi Excel 2007 2010 2013 2016 2019 Pemula Excel salah aplikasi pengolah data super canggih Ketersediaan formula ratusan fungsi Excel aplikasi unggul Penggunaan Excel luas tuntutan menguasai aplikasi optimal Salah kunci sukses menguasai Excel kemampuan formula fungsi Excel efektif efisien profesional Buku Panduan Lengkap Formula Fungsi Excel 2007 2010 2013 2016 2019 Pemula buku terlengkap mengupas tuntas penggunaan formula fungsi Excel optimal bahasa sederhana ringan mudah dipelajari Materi pembahasan dilengkapi ratusan file di-download proses belajar efektif efisien Buku cocok dibaca pemula profesional mempelajari Excel
Most Wanted Tips & Trick Word + PowerPoint 2021 Langsung Mahir!,68000,"Microsoft Word merupakan aplikasi perkantoran terbaik dan populer dalam penyelesaian pekerjaan pengolahan kata. Namun, tidak semua orang dapat memanfaatkan fungsi Microsoft Word secara efektif. Begitu juga dengan penggunaan PowerPoint, aplikasi presentasi paling populer ini juga belum dimanfaatkan secara maksimal oleh para pengguna. Sebenarnya banyak fungsi yang dapat dimaksimalkan untuk menyelesaikan tugas atau pekerjaan yang berkaitan dengan pengolahan kata dan presentasi. Jika Anda ingin mempelajari Microsoft Word dan PowerPoint lebih jauh, buku ini solusinya. Buku ini membahas 25 tips dan trik serta membahas tools terbaru dari Word dan PowerPoint 2021. Dengan membaca buku ini, pekerjaan Anda akan lebih mudah, lebih cepat, dan Anda akan semakin mahir menggunakan Word dan PowerPoint 2021.",https://www.gramedia.com/products/most-wanted-tips-trick-word-powerpoint-2021-langsung-mahir,https://cdn.gramedia.com/uploads/picture_meta/2023/6/4/htcsu7d2cqoy57wv7vltdy.jpg,Most Wanted Tips Trick Word PowerPoint 2021 Langsung Mahir Microsoft Word aplikasi perkantoran terbaik populer penyelesaian pekerjaan pengolahan orang memanfaatkan fungsi Microsoft Word efektif penggunaan PowerPoint aplikasi presentasi populer dimanfaatkan maksimal pengguna fungsi dimaksimalkan menyelesaikan tugas pekerjaan berkaitan pengolahan presentasi mempelajari Microsoft Word PowerPoint buku solusinya Buku membahas 25 tips trik membahas tools terbaru Word PowerPoint 2021 membaca buku pekerjaan mudah cepat mahir Word PowerPoint 2021
"HTML, PHP, dan MySQL untuk Pemula (Update Version)",68000,"Website kekinian yang fungsional dibentuk minimal menggunakan tiga macam pemrograman dasar, yaitu HTML, PHP, dan MySQL. HTML digunakan untuk mendesain layout dan bentuk website, sedangkan PHP digunakan untuk membuat website dengan konten yang dinamis dan interaktif. Jika ingin agar website itu dapat menyimpan data, maka Anda membutuhkan MySQL. Buku ini merupakan versi terbaru dari edisi pertama yang terbukti laris di pasaran. Didesain untuk orang awam, pembahasan di dalam buku ini bebas jargon teknis yang sulit sehingga cocok dibaca bagi semua orang. Untuk kepentingan belajar dari nol maka buku ini cocok dipelajari sebab dalam sekali waktu, Anda bisa mempelajari tiga macam pemrograman sekaligus. Diharapkan, sebuah website yang berfungsi dengan baik bisa dibuat dengan memanfaatkan HTML, PHP, dan MySQL. Tool apa saja yang dibutuhkan untuk mempelajari buku ini telah tersedia dan dapat dimiliki secara gratis. Dengan demikian, tak ada halangan untuk dapat mempelajari isi buku ini. Selain itu, buku ini diperkaya dengan materi tentang query MySQL yang tidak dapat ditemukan di dalam buku edisi pertama. Semoga buku ini bisa membantu Anda menjadi seorang web developer yang handal dan sukses!",https://www.gramedia.com/products/html-php-dan-mysql-untuk-pemula-update-version,https://cdn.gramedia.com/uploads/picture_meta/2023/6/4/4it8hfv6f7sjwrtnewlllq.jpg,HTML PHP MySQL Pemula Update Version Website kekinian fungsional dibentuk minimal pemrograman dasar HTML PHP MySQL HTML mendesain layout bentuk website PHP website konten dinamis interaktif website menyimpan data membutuhkan MySQL Buku versi terbaru edisi terbukti laris pasaran Didesain orang awam pembahasan buku bebas jargon teknis sulit cocok dibaca orang kepentingan belajar nol buku cocok dipelajari mempelajari pemrograman Diharapkan website berfungsi memanfaatkan HTML PHP MySQL Tool dibutuhkan mempelajari buku tersedia dimiliki gratis halangan mempelajari isi buku buku diperkaya materi query MySQL ditemukan buku edisi Semoga buku membantu web developer handal sukses
Mudahnya Membuat Web e-Learning Berbasis Web dan Android,73600,"Saat ini, pembelajaran di sekolah maupun di perguruan tinggi banyak dilakukan dengan metode blended learning (perpaduan antara daring dan luring), hybrid learning (daring dan luring), dan full daring. Dengan berkembangnya teknologi informasi dan komunikasi dalam pembelajaran, maka tenaga pendidik perlu memiliki keterampilan untuk menggunakan aplikasi pembelajaran e-learning. Aplikasi e-learning yang sering digunakan oleh para tenaga pendidik yaitu Moodle, Wordpress, dan Blogger karena menjadi tiga aplikasi paling efektif diterapkan untuk pembelajaran daring (online). Buku ini membahas langkah-langkah dalam membuat e-learning berbasis LMS, CMS, dan Blog, mulai dari instalasi, mengatur tema, mengelola pengguna, membuat kelas, membuat mata pelajaran atau mata kuliah, membuat materi, melakukan diskusi, membuat evaluasi, dan mengelola nilai, sehingga para tenaga pendidik akan lebih mudah dalam mempelajari dan mempraktikannya secara mandiri.",https://www.gramedia.com/products/mudahnya-membuat-web-e-learning-berbasis-web-dan-android,https://cdn.gramedia.com/uploads/picture_meta/2023/5/29/bg544qrsgmbkpvhvsmwahd.jpg,Mudahnya Web e-Learning Berbasis Web Android pembelajaran sekolah perguruan metode blended learning perpaduan daring luring hybrid learning daring luring full daring berkembangnya teknologi informasi komunikasi pembelajaran tenaga pendidik memiliki keterampilan aplikasi pembelajaran e-learning Aplikasi e-learning tenaga pendidik Moodle Wordpress Blogger aplikasi efektif diterapkan pembelajaran daring online Buku membahas langkah-langkah e-learning berbasis LMS CMS Blog instalasi mengatur tema mengelola pengguna kelas mata pelajaran mata kuliah materi diskusi evaluasi mengelola nilai tenaga pendidik mudah mempelajari mempraktikannya mandiri
7 in 1 Pemrograman Web untuk Pemula (Update Version),116000,"Teknologi pemrograman web terus berkembang begitu cepat. Bagi pemula, tentu akan sangat tertinggal jika tidak cepat mengejar. Buku ini membahas 7 materi pemrograman web sekaligus yang menjadi materi utama dalam mempelajari pemrograman web. Dengan demikian, akan sangat membantu pemula yang ingin menguasai pemrograman web untuk mengejar ketertinggalanya dan menjadi web programmer dalam waktu singkat.",https://www.gramedia.com/products/7-in-1-pemrograman-web-untuk-pemula-update-version,https://cdn.gramedia.com/uploads/picture_meta/2023/5/23/yclnbqxoyzs2crzzazwsrk.jpg,7 in 1 Pemrograman Web Pemula Update Version Teknologi pemrograman web berkembang cepat pemula tertinggal cepat mengejar Buku membahas 7 materi pemrograman web materi utama mempelajari pemrograman web membantu pemula menguasai pemrograman web mengejar ketertinggalanya web programmer singkat
Praktis Membuat Website Sendiri dengan Wordpress,72000,"Jika Anda ingin membuat website, apapun jenisnya, WordPress bisa jadi pilihan terbaik. Sebagai sebuah CMS, WordPress bisa membantu Anda membuat dan mengelola website tanpa coding. Anda bisa menata tampilan, menambahkan fitur, dan membuat konten di website dengan mudah. Jadi, cocok untuk digunakan pemula sekalipun. Tak hanya itu, WordPress juga bisa Anda gunakan secara gratis karena bersifat open-source.",https://www.gramedia.com/products/praktis-membuat-website-sendiri-dengan-wordpress,https://cdn.gramedia.com/uploads/picture_meta/2023/5/10/ticgokjok4xjmwkqweravh.jpg,Praktis Website Wordpress website apapun jenisnya WordPress pilihan terbaik CMS WordPress membantu mengelola website coding menata tampilan fitur konten website mudah cocok pemula WordPress gratis bersifat open-source
Formula Sakti Menaklukkan Excel,72000," Perkembangan teknologi yang cukup pesat membuat manusia memiliki kebutuhan yang bertambah. Dewasa ini, ada keterkaitan antara kemajuan teknologi serta kebutuhan manusia yang bertambah dan tentu saja harus segera dipenuhi dengan cara yang mudah. Secara langsung maupun tidak langsung, manfaat perkembangan teknologi tentu saja membantu manusia dalam melakukan pemenuhan kebutuhannya di sektor kehidupan, salah satunya adalah program Microsoft Office atau biasa disingkat Ms. Office. Program tersebut membantu para pekerja terutama di sektor kantoran. Selain itu, program tersebut juga membantu mahasiswa dan pelajar guna menyelesaikan pekerjaan dan tugas tugas mereka dengan baik.",https://www.gramedia.com/products/formula-sakti-menaklukkan-excel,https://cdn.gramedia.com/uploads/picture_meta/2023/6/15/gybum9oauxunnyybaygjus.jpg,Formula Sakti Menaklukkan Excel Perkembangan teknologi pesat manusia memiliki kebutuhan bertambah Dewasa keterkaitan kemajuan teknologi kebutuhan manusia bertambah dipenuhi mudah langsung langsung manfaat perkembangan teknologi membantu manusia pemenuhan kebutuhannya sektor kehidupan salah satunya program Microsoft Office disingkat Ms. Office Program membantu pekerja sektor kantoran program membantu mahasiswa pelajar menyelesaikan pekerjaan tugas tugas
Tips & Trick Menguasai Excel 2021,64000,"Fungsi Excel merupakan rumus siap pakai yang digunakan sebagai alat bantu dalam proses perhitungan. Excel menyediakan ratusan fungsi untuk menyelesaikan pekerjaan dengan lebih mudah dan lebih singkat. Namun karena luasnya bidang pengolahan data, tidak semua fungsi yang disediakan Excel dapat memenuhi kebutuhan pengguna. Hal tersebut dapat dimengerti, karena kasus yang dihadapi pengguna yang satu seringkali berbeda dengan pengguna yang lain.",https://www.gramedia.com/products/tips-trick-menguasai-excel-2021,https://cdn.gramedia.com/uploads/picture_meta/2023/6/14/kuvjb8jny6tzckfdmxqtl2.jpg,Tips Trick Menguasai Excel 2021 Fungsi Excel rumus pakai alat bantu proses perhitungan Excel menyediakan ratusan fungsi menyelesaikan pekerjaan mudah singkat luasnya bidang pengolahan data fungsi disediakan Excel memenuhi kebutuhan pengguna dimengerti dihadapi pengguna seringkali berbeda pengguna
